Date,Name,Year,Letterboxd URI,Rating
2024-01-20,The Machinist,2004,https://boxd.it/248c,3.5
2024-01-20,Kho Gaye Hum Kahan,2023,https://boxd.it/x1qa,3.5
2024-01-21,Monster,2023,https://boxd.it/DJEM,3.5
2024-01-21,Joyland,2022,https://boxd.it/AlzM,4
2024-01-21,Society of the Snow,2023,https://boxd.it/y9aw,4
2024-01-21,10 Things I Hate About You,1999,https://boxd.it/23AO,3.5
2024-01-27,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,3.5
2024-01-27,Bones and All,2022,https://boxd.it/tLd4,3.5
2024-01-27,Wake Up Sid,2009,https://boxd.it/1C8e,3
2024-01-28,Past Lives,2023,https://boxd.it/oNB8,4
2024-01-29,42,2013,https://boxd.it/3GBo,3.5
2024-02-06,Vadakkupatti Ramasamy,2024,https://boxd.it/GcW0,2.5
2024-02-10,Grave of the Fireflies,1988,https://boxd.it/1RUM,4
2024-02-13,Lover,2024,https://boxd.it/KhoK,3.5
2024-02-18,Sir,2018,https://boxd.it/iNpa,3.5
2024-02-18,Rushmore,1998,https://boxd.it/1TAO,4
2024-03-03,Dune,2021,https://boxd.it/fA7G,4
2024-03-03,Premalu,2024,https://boxd.it/HuK4,3
2024-03-06,Manjummel Boys,2024,https://boxd.it/EtUc,3.5
2024-03-17,Oppenheimer,2023,https://boxd.it/wUow,4
2024-03-17,Another Round,2020,https://boxd.it/lkba,4
2024-03-17,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3
2024-03-18,Mamma Mia!,2008,https://boxd.it/1Tnq,3
2024-03-18,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-04-02,"Like Father, Like Son",2013,https://boxd.it/5rQs,4
2024-04-06,Black Swan,2010,https://boxd.it/Sw0,4
2024-04-13,Shame,2011,https://boxd.it/2CxU,3.5
2024-04-13,Fight Club,1999,https://boxd.it/2a9q,4
2024-04-15,Pride & Prejudice,2005,https://boxd.it/24u8,3.5
2024-04-15,Imaikkaa Nodigal,2018,https://boxd.it/eEnw,3
2024-05-04,Lost Ladies,2023,https://boxd.it/I0mS,3.5
2024-05-05,Aattam,2023,https://boxd.it/Aaws,3.5
2024-05-05,Aamis,2019,https://boxd.it/kTVA,3.5
2024-05-05,A Scene at the Sea,1991,https://boxd.it/1z10,3.5
2024-05-06,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,3.5
2024-05-18,War for the Planet of the Apes,2017,https://boxd.it/8FE2,3
2024-05-19,The Fly,1986,https://boxd.it/1YIe,3.5
2024-05-19,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4
2024-06-02,The Batman,2022,https://boxd.it/eDGs,4
2024-06-03,Heat,1995,https://boxd.it/2bg8,4
2024-07-06,Kalki 2898-AD,2024,https://boxd.it/uaUM,2.5
2024-07-08,Star,2024,https://boxd.it/MEYq,3
2024-07-21,October,2018,https://boxd.it/hUvi,3.5
2024-08-03,8 A.M. Metro,2023,https://boxd.it/GpSK,3.5
2024-08-03,Iratta,2023,https://boxd.it/zELA,3
2024-08-03,Ford v Ferrari,2019,https://boxd.it/ce74,4
2024-08-11,The Wolverine,2013,https://boxd.it/2CWU,3
2024-08-11,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2.5
2024-08-11,Unbelievable,2019,https://boxd.it/noio,4
2024-08-15,Gladiator,2000,https://boxd.it/2b9m,4
2024-08-22,Twisters,2024,https://boxd.it/qV7a,3
2024-08-31,Raayan,2024,https://boxd.it/GYru,3
2024-09-09,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2024-09-21,Longlegs,2024,https://boxd.it/KzLM,3.5
2024-09-21,Guruvayoor Ambalanadayil,2024,https://boxd.it/Eqle,3
2024-09-22,Civil War,2024,https://boxd.it/z1jW,3.5
2024-09-22,Sharp Objects,2018,https://boxd.it/j3NM,4
2024-10-05,Atonement,2007,https://boxd.it/24ui,4
2024-10-06,Aliens,1986,https://boxd.it/29PA,4
2024-10-07,Taste of Cherry,1997,https://boxd.it/1m8W,4
2024-10-13,Stree 2,2024,https://boxd.it/G5Cs,3
2024-10-20,The Circle,2000,https://boxd.it/1PbA,3.5
2024-10-21,Gargi,2022,https://boxd.it/ALXU,3.5
2024-10-21,Talvar,2015,https://boxd.it/bTxg,3.5
2024-10-21,Montage,2013,https://boxd.it/5SR8,3.5
2024-10-27,Meiyazhagan,2024,https://boxd.it/GYue,3.5
2024-11-01,Vettaiyan,2024,https://boxd.it/FnTu,3
2024-11-18,Ante... Sundaraniki!,2022,https://boxd.it/vu0w,3.5
2024-12-07,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2024-12-15,Sookshmadarshini,2024,https://boxd.it/zRX0,3.5
2024-12-15,The Adamant Girl,2024,https://boxd.it/FwMs,3.5
2024-12-15,Viduthalai: Part I,2023,https://boxd.it/tzzM,4
2024-12-16,Kishkindha Kaandam,2024,https://boxd.it/CLOM,3.5
2024-12-28,Take Shelter,2011,https://boxd.it/DQ,4
2024-12-28,Anora,2024,https://boxd.it/Egcw,3.5
2024-12-28,Girls Will Be Girls,2024,https://boxd.it/FVUw,3.5
2024-12-28,Nayakan,1987,https://boxd.it/1meA,4
2024-12-28,The Last 10 Years,2022,https://boxd.it/x57m,3.5
2024-12-29,The Imitation Game,2014,https://boxd.it/6aig,3
2025-01-11,Nirangal Moondru,2024,https://boxd.it/yKnW,3.5
2025-01-11,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4,4
2025-01-12,Yuni,2021,https://boxd.it/tXkw,3.5
2025-01-13,Dahaad,2023,https://boxd.it/GyFA,3
2025-01-15,The Raid,2011,https://boxd.it/3hBy,4
2025-01-15,The Raid 2,2014,https://boxd.it/5uz0,3.5
2025-01-17,Asako I & II,2018,https://boxd.it/hyNk,4
2025-01-18,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,4
2025-02-01,A Real Pain,2024,https://boxd.it/CjNG,3.5
2025-02-09,Vidaamuyarchi,2025,https://boxd.it/zQjS,3
2025-03-08,Kai Po Che!,2013,https://boxd.it/5cWU,3.5
2025-03-24,Dragon,2025,https://boxd.it/Mxns,3
2025-03-24,Nilavuku En Mel Ennadi Kobam,2025,https://boxd.it/Ko9C,2
2025-03-24,Officer on Duty,2025,https://boxd.it/MSnS,3.5
2025-03-24,Adolescence,2025,https://boxd.it/TFGw,4
2025-03-29,The Wind Rises,2013,https://boxd.it/4JQS,4
2025-04-02,Mouna Raagam,1986,https://boxd.it/2SpW,3.5
2025-04-02,Santosh,2024,https://boxd.it/KRli,3.5
2025-04-02,Karwaan,2018,https://boxd.it/jp58,3.5
2025-04-26,Veera Dheera Sooran: Part 2,2025,https://boxd.it/JsRc,3.5
2025-04-26,Barfi!,2012,https://boxd.it/4aL4,4
2025-04-27,Life of Pi,2012,https://boxd.it/37pC,3.5
2025-05-01,The Revenant,2015,https://boxd.it/8H5e,4
2025-05-01,Court: State vs. A Nobody,2025,https://boxd.it/SHmm,3
2025-05-19,Irugapatru,2023,https://boxd.it/EEGA,3.5
2025-05-19,Tourist Family,2025,https://boxd.it/RNEO,3.5
2025-05-19,Superboys of Malegaon,2024,https://boxd.it/KyOU,3.5
2025-05-19,Good Bad Ugly,2025,https://boxd.it/M11k,2
2025-06-02,HIT: The First Case,2020,https://boxd.it/pifM,3.5
2025-06-02,HIT: The 2nd Case,2022,https://boxd.it/uzQq,2.5
2025-06-02,HIT: The Third Case,2025,https://boxd.it/E7vu,3
2025-06-02,Retro,2025,https://boxd.it/MfqS,3
2025-06-07,Thug Life,2025,https://boxd.it/DxWY,2.5
2025-07-21,Thupparivaalan,2017,https://boxd.it/esI8,3.5
2025-07-21,Kuberaa,2025,https://boxd.it/IpbA,3
2025-07-21,Dear Zindagi,2016,https://boxd.it/eAiM,3.5
2025-08-02,PK,2014,https://boxd.it/9q1G,3.5
2025-08-02,Casino Royale,2006,https://boxd.it/1alk,4
2025-08-02,Quantum of Solace,2008,https://boxd.it/1Vs8,3
2025-08-02,Skyfall,2012,https://boxd.it/17Fc,4
2025-08-11,3BHK,2025,https://boxd.it/Nn64,3
2025-08-18,Khauf,2025,https://boxd.it/Ux8o,3.5
2025-08-18,Mandala Murders,2025,https://boxd.it/WYwQ,2.5
2025-08-31,Superman,2025,https://boxd.it/E9IU,3.5
2025-08-31,F1,2025,https://boxd.it/yjVM,4
2025-09-05,Lokah Chapter 1: Chandra,2025,https://boxd.it/NelO,3.5
2025-09-12,Madharaasi,2025,https://boxd.it/Nu7S,3
2025-09-14,Saiyaara,2025,https://boxd.it/Lb84,3
2025-09-15,The Hunt,2012,https://boxd.it/3wEC,4
2025-09-15,Coolie,2025,https://boxd.it/HDVK,2.5
2025-10-02,A Touch of Sin,2013,https://boxd.it/5Fvo,3.5
2025-10-02,Still Life,2006,https://boxd.it/26Tk,4
2025-10-03,A Silent Voice: The Movie,2016,https://boxd.it/d99c,4
2025-10-03,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,4
2025-10-12,Sinners,2025,https://boxd.it/KQMM,4
2025-10-12,Burning,2018,https://boxd.it/hHUa,3.5
2025-11-03,Task,2025,https://boxd.it/Xwl8,3.5
2025-11-09,Kiss,2025,https://boxd.it/Nysq,3
2025-11-10,Baramulla,2025,https://boxd.it/YdUU,3
2025-11-22,Saving Private Ryan,1998,https://boxd.it/29ro,4
2025-11-30,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,3
2025-12-07,Sister Midnight,2024,https://boxd.it/MBDY,3.5
2025-12-07,The Girlfriend,2025,https://boxd.it/Jojq,2.5
2025-12-07,Left-Handed Girl,2025,https://boxd.it/BLDW,3.5
2025-12-13,We Live in Time,2024,https://boxd.it/FC5u,3.5
2025-12-13,Kaantha,2025,https://boxd.it/LChi,3.5
2025-12-13,Short Term 12,2013,https://boxd.it/5f6s,4
2025-12-13,Perfect Blue,1997,https://boxd.it/1W7A,4
2025-12-15,Aaromaley,2025,https://boxd.it/VkiM,3
2025-12-21,Silence,2016,https://boxd.it/2cAo,4
2025-12-21,Homebound,2025,https://boxd.it/KDDs,3.5
2026-01-03,Thevar Magan,1992,https://boxd.it/8pM,4
2026-01-04,Eko,2025,https://boxd.it/EuuY,3.5
2026-01-05,About Time,2013,https://boxd.it/43bI,4
2026-01-12,Sore: A Wife from the Future,2025,https://boxd.it/RjY0,4
2026-01-16,Parasakthi,2026,https://boxd.it/AsJk,3
2026-01-18,Mask,2025,https://boxd.it/Oa34,3
2026-01-19,The Substance,2024,https://boxd.it/zanS,4
2026-01-19,Gia,1998,https://boxd.it/1NUo,3.5
2026-01-19,It Was Just an Accident,2025,https://boxd.it/TX2k,4
2026-01-25,Angammal,2024,https://boxd.it/QJO4,3.5
