source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
diary,2023-01-23,2023,Lucky Number Slevin,https://boxd.it/3KjVTX,3,,,,2023-01-22,,
ratings,2023-01-23,2023,Lucky Number Slevin,https://boxd.it/2aVu,3,,,,,,
diary,2023-01-24,2023,Dead Poets Society,https://boxd.it/3KFHuj,4,,,,2023-01-23,,
ratings,2023-01-24,2023,Dead Poets Society,https://boxd.it/2aSg,4,,,,,,
reviews,2023-01-24,2023,Dead Poets Society,https://boxd.it/3KFHuj,4,,"Want to get a girl?
Say ""Dead poets Honour""

Want to get a bullet
Be in ""Dead Poets Society",,2023-01-23,,
diary,2023-01-26,2023,Goodnight Mommy,https://boxd.it/3Lh5dP,2.5,,,,2023-01-25,,
diary,2023-01-26,2023,Lars and the Real Girl,https://boxd.it/3Lt1qJ,3.5,,,,2023-01-26,,
diary,2023-01-26,2023,Aftersun,https://boxd.it/3Lvw2n,3.5,,,,2023-01-26,,
ratings,2023-01-26,2023,Goodnight Mommy,https://boxd.it/8Niy,2.5,,,,,,
ratings,2023-01-26,2023,Lars and the Real Girl,https://boxd.it/21tG,3.5,,,,,,
reviews,2023-01-26,2023,Lars and the Real Girl,https://boxd.it/3Lt1qJ,3.5,,Lars with his doll where the purpose of using that doll is not done except that last kiss...,,2023-01-26,,
reviews,2023-01-26,2023,Aftersun,https://boxd.it/3Lvw2n,3.5,,The little mind camera....NICE !!!,,2023-01-26,,
diary,2023-01-27,2023,Blow Out,https://boxd.it/3LA6fb,4,,,,2023-01-26,,
ratings,2023-01-27,2023,Blow Out,https://boxd.it/1TlE,4,,,,,,
reviews,2023-01-27,2023,Blow Out,https://boxd.it/3LA6fb,4,,"<i>It is a scream...
It is a scream...
</i><i>It is a scream...
</i>",,2023-01-26,,
diary,2023-01-28,2023,Moon,https://boxd.it/3LS0xp,3.5,,,,2023-01-27,,
diary,2023-01-28,2023,The Tribe,https://boxd.it/3M6MOB,3.5,,,,2023-01-28,,
ratings,2023-01-28,2023,Moon,https://boxd.it/1IGQ,3.5,,,,,,
ratings,2023-01-28,2023,The Tribe,https://boxd.it/8aqe,3.5,,,,,,
reviews,2023-01-28,2023,Moon,https://boxd.it/3LS0xp,3.5,,Hmmm.... different kind of sci fi film .. loved it,,2023-01-27,,
reviews,2023-01-28,2023,The Tribe,https://boxd.it/3M6MOB,3.5,,"This film is in sign language
There are no translations, no subtitles, no voice over...
Yet a SOUND film...",,2023-01-28,,
diary,2023-01-29,2023,Jaya Jaya Jaya Jaya Hey,https://boxd.it/3M7Sq3,3,,,,2023-01-28,,
diary,2023-01-29,2023,Ex Machina,https://boxd.it/3McxMd,4,,,,2023-01-28,,
ratings,2023-01-29,2023,Jaya Jaya Jaya Jaya Hey,https://boxd.it/z60K,3,,,,,,
ratings,2023-01-29,2023,Ex Machina,https://boxd.it/7T2k,4,,,,,,
reviews,2023-01-29,2023,Ex Machina,https://boxd.it/3McxMd,4,,"...
The use of pornography history....hats off Nathan
...
And Ava, a great witch",,2023-01-28,,
diary,2023-01-30,2023,Spencer,https://boxd.it/3Mw9wF,3.5,,,,2023-01-29,,
ratings,2023-01-30,2023,Spencer,https://boxd.it/qPMG,3.5,,,,,,
reviews,2023-01-30,2023,Spencer,https://boxd.it/3Mw9wF,3.5,,"| Beauty is useless
| Beauty is clothing

SPENCER",,2023-01-29,,
diary,2023-01-31,2023,Contempt,https://boxd.it/3MUWND,3.5,,,,2023-01-30,,
